company,date,open,high,low,close
QCOM,2020-10-29,122.06,127.69,121.89,126.44
QCOM,2020-10-30,123.68,125.25,121.6,123.36
QCOM,2020-11-02,124.5,126.17,122.41,123.97
QCOM,2020-11-03,125.44,126.92,124.69,125.45
QCOM,2020-11-04,129.33,129.57,126.07,128.97
QCOM,2020-11-05,145.82,148.8,141.83,145.41
QCOM,2020-11-06,146.01,146.23,143.96,145.01
QCOM,2020-11-09,149.41,149.41,142.44,142.61
QCOM,2020-11-10,140.15,143.17,138.53,140.11
QCOM,2020-11-11,144.5,148.09,144,147.69
QCOM,2020-11-12,147.57,148.51,143.07,143.91
QCOM,2020-11-13,145.54,146.25,143.23,144.26
QCOM,2020-11-16,145.2,149.25,144.55,149.07
QCOM,2020-11-17,149.02,149.85,147.18,148.74
ACN,2020-10-19,230.23,233.25,225.72,226.24
ACN,2020-10-20,226.7,232.29,226.45,230.39
ACN,2020-10-21,229.9,234.38,229.06,233.1
ACN,2020-10-22,233.1,234.71,227.85,228.14
ACN,2020-10-23,227.7,229.8,226.93,229.7
ACN,2020-10-26,225.36,227.99,218.35,219.23
ACN,2020-10-27,220.63,223,220.21,220.66
ACN,2020-10-28,216.81,217.93,212.92,213.94
ACN,2020-10-29,215.51,218.53,212.45,216.44
ACN,2020-10-30,215.28,217.81,213.64,216.91
ACN,2020-11-02,219.17,223.16,218.32,220.19
ACN,2020-11-03,222,227.77,221.43,225.71
ACN,2020-11-04,225,230.9,224.4,227.92
ACN,2020-11-05,233.37,236.12,232.42,233.99
ACN,2020-11-06,235.01,237,231.07,236.29
ACN,2020-11-09,239.89,248,239.67,240.22
ACN,2020-11-10,238.61,239.61,235.58,238.71
ACN,2020-11-11,240.96,244.08,240.13,242.75
ACN,2020-11-12,242,243.09,236.89,238.15
ACN,2020-11-13,239.99,242.42,238.09,241.78
ACN,2020-11-16,243.88,246.69,242.64,244.95
ACN,2020-11-17,243.37,245.49,241.28,243.82
TXN,2020-10-19,153.28,154.92,150.26,150.76
TXN,2020-10-20,151.79,152.24,149.69,150.83
TXN,2020-10-21,149.1,149.46,144.66,146.13
TXN,2020-10-22,146.82,148.88,145.83,148.22
TXN,2020-10-23,148.42,150,148.32,149.96
TXN,2020-10-26,148.2,148.5,144.22,145.95
TXN,2020-10-27,147.63,148.33,146.55,147.12
TXN,2020-10-28,144.7,145.86,141.76,143
TXN,2020-10-29,141.69,147.31,141.33,146.19
TXN,2020-10-30,145,145.95,142.53,144.59
TXN,2020-11-02,146.46,146.9,144.22,145.6
TXN,2020-11-03,146.86,148.59,146.66,147.3
TXN,2020-11-04,150.8,153.5,148.44,152.03
TXN,2020-11-05,154.84,156.3,154.15,155.56
TXN,2020-11-06,156.05,158.21,154.94,157.74
TXN,2020-11-09,162,164.63,156.06,156.22
TXN,2020-11-10,155.38,156.35,151.02,151.49
TXN,2020-11-11,154.94,155.94,153.64,155.7
TXN,2020-11-12,156.02,156.93,153.66,154.5
TXN,2020-11-13,156.64,157.98,155.16,156.65
TXN,2020-11-16,157.27,159.39,156.62,158.31
TXN,2020-11-17,157.39,158.31,155.18,155.5
SAP,2020-10-19,156.06,156.29,152.2,152.51
SAP,2020-10-20,151.83,152.81,150.38,150.66
SAP,2020-10-21,148.23,149.86,148.08,148.37
SAP,2020-10-22,146.59,148.59,145.38,147.64
SAP,2020-10-23,148.06,149.81,147.15,149.68
SAP,2020-10-26,118.27,118.69,113.23,115.02
SAP,2020-10-27,118.53,118.67,113.86,114.5
SAP,2020-10-28,109.67,110.34,107.7,108.11
SAP,2020-10-29,106.8,109.87,106.06,108.63
SAP,2020-10-30,108,108.15,105.66,106.83
SAP,2020-11-02,106.31,106.33,104.64,105.83
SAP,2020-11-03,108.5,110.69,108.34,109.71
SAP,2020-11-04,111.64,113.78,110.89,112.45
SAP,2020-11-05,117.07,117.13,114.23,115.68
SAP,2020-11-06,116.7,116.83,114.97,115.12
SAP,2020-11-09,120.05,120.1,115.22,115.22
SAP,2020-11-10,119.29,119.3,116.59,116.78
SAP,2020-11-11,119,119.73,118.5,119.51
SAP,2020-11-12,119.35,119.62,117.22,117.43
SAP,2020-11-13,119.63,120.43,119.25,120.31
